name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
China Gaoxian,0.003,0.003,-,26 Jul 2019,0.34M,113.75M,47.69%,-0.02,0.00M,SGD 0.00612,SGD 0.00612,-,-,-,-,-,-,77.00M,-,77.65M,"1,817.24M",0.13M,-,-0.537,-19.94M,-,-,-9.49M,-,-2.01M,-,-,-,-,Consumer Cyclical / Apparel/Accessories / 
China Great Land,0.005,0.005,-,26 Jul 2019,1.35M,270.00M,41.88%,-0.00,0.00M,-,-,-,-,-,-,-,-,-0.03M,-,-,1.11M,0.15M,-,-40.543,-,-,-,-4.26M,-,-0.85M,-,-,-,-,Capital Goods / Construction - Raw Materials / 
China Haida,0.008,0.008,-,26 Jul 2019,2.04M,254.88M,45.84%,-0.02,1.12M,SGD 0.00784,SGD 0.00784,-,0.045,-,0.046,-,-,-0.60M,-,1.44M,282.14M,25.02M,-9.109,-7.352,-0.58M,-,45.54M,-21.09M,-9.214,-4.31M,-9.463,-11.935,-,-,Basic Materials / Misc. Fabricated Products / 
China Hongxing,0.115,0.115,-,26 Jul 2019,346.16M,2.80B,100.00%,-0.00,0.00M,-,-,-,-,-,-,2.078,-,-0.62M,-,-,3.10M,3.10M,-1.569,-0.638,-3.93M,-,-,-2.50M,-,-0.50M,-,-,-,-,Consumer Cyclical / Footwear / 
China Jinjiang,0.600,0.600,-,26 Jul 2019,865.95M,1.44B,26.39%,0.06,1.28M,SGD 0.595,SGD 0.595,7.438,1.464,4.421,0.778,8.500,-,"1,215.19M",92.999,"2,039.47M","14,594.17M",857.49M,11.055,4.126,"-2,439.92M",-,591.48M,748.31M,25.433,113.07M,19.476,11.929,12.451,-,Transportation / Trucking / 
China Mining,0.093,0.093,-,26 Jul 2019,13.64M,146.69M,49.89%,-0.00,0.03M,SGD 0.13292,SGD 0.13292,-,2.150,-,0.719,-,-,-8.56M,-,5.28M,160.69M,42.02M,-0.980,-1.632,-12.59M,-,6.35M,5.18M,7.450,-0.57M,-8.918,-,-,-,Capital Goods / Construction Services / 
China Paper,0.024,0.024,-,26 Jul 2019,44.04M,1.82B,91.41%,0.01,0.00M,-,-,-,0.303,4.360,-,-,1.441,-71.80M,-,-,"1,814.44M",433.66M,3.461,-2.708,-433.00M,-,145.14M,75.19M,-5.316,-8.96M,-6.173,-15.062,-27.571,-,Basic Materials / Paper & Paper Products / 
China Sky Chem,0.027,0.027,-,26 Jul 2019,24.26M,870.16M,100.00%,-0.07,0.00M,-,-,-,0.077,-,-,-,-,-84.75M,-,-31.30M,"2,013.05M",279.29M,-19.836,-16.555,-,-,316.26M,-425.27M,-22.901,-72.42M,-22.901,-6.218,-,-,Consumer Cyclical / Apparel/Accessories / 
China Sports,0.011,0.011,-,26 Jul 2019,12.84M,1.15B,100.00%,-,0.00M,-,-,-,0.250,3.899,-,-,-,-30.68M,-,-14.83M,611.21M,204.10M,-,0.070,-24.62M,-,51.33M,-2.39M,1.459,0.08M,0.151,-,-,-,Consumer Cyclical / Footwear / 
China Taisan,0.028,0.028,-,26 Jul 2019,1.58M,55.95M,80.80%,0.12,0.00M,-,-,-,0.067,0.217,-,-,-,5.68M,-,7.98M,376.95M,4.54M,12.019,6.295,-60.00M,-,23.58M,33.59M,19.526,4.52M,19.187,-26.396,-,-,Consumer Cyclical / Textiles - Non Apparel / 
Ezion,0.043,0.043,-,26 Jul 2019,160.44M,3.73B,92.44%,-0.13,0.00M,SGD 0.04793,SGD 0.04793,-,1.077,-,-,-,-,158.51M,-,"1,963.62M","1,342.10M",49.03M,-,-19.297,-65.35M,-,148.94M,-376.42M,-315.142,-423.69M,-285.261,-29.262,-,-,Energy / Oil Well Services & Equipment / 
Ezra,0.011,0.011,-,26 Jul 2019,32.46M,2.94B,100.00%,-0.20,0.00M,-,-,-,0.045,-,-,-,-,"1,590.77M",5.502,"1,623.23M","1,936.47M",34.03M,-121.680,-30.352,-168.38M,-,717.88M,-850.35M,-161.937,"-1,112.03M",-176.691,-14.797,-,-,Energy / Oil Well Services & Equipment / 
Fabchem China,0.150,0.150,-,26 Jul 2019,7.02M,46.80M,47.84%,-0.32,0.04M,SGD 0.15604,SGD 0.15604,-,0.229,-,0.184,-,-,-5.02M,-,2.00M,332.99M,83.21M,-55.533,-35.604,-12.89M,-,30.72M,-147.24M,-95.353,-29.92M,-97.382,-17.041,-,-,Basic Materials / Chemical Manufacturing / 
Falcon Energy,0.027,0.027,-,26 Jul 2019,24.12M,893.44M,30.26%,-0.09,0.00M,-,-,-,0.593,-,0.537,-,-,175.08M,66.441,224.50M,366.51M,4.58M,-82.264,-27.286,-4.16M,-,40.70M,-93.45M,-326.694,-106.69M,-326.674,-,-,-,Services / Rental & Leasing / 
Far East,0.142,0.142,-,26 Jul 2019,15.83M,111.46M,9.76%,0.06,0.31M,SGD 0.13818,SGD 0.13818,0.599,0.388,0.572,0.293,21.127,-,3.83M,30.711,19.65M,92.63M,21.56M,67.716,32.026,-2.05M,-,40.79M,26.55M,65.091,25.72M,62.972,-5.238,43.415,-,Services / Business Services / 
Federal Int,0.195,0.195,-,26 Jul 2019,27.45M,140.67M,56.77%,-0.04,0.53M,SGD 0.20984,SGD 0.20984,-,0.691,-,0.344,7.692,-,17.69M,9.118,41.04M,117.75M,10.37M,-6.904,-4.753,-0.30M,-,39.75M,-6.60M,-15.547,-5.44M,-15.330,-21.008,-,-,Energy / Oil Well Services & Equipment / 
Figtree,0.107,0.107,-,26 Jul 2019,37.58M,351.21M,12.26%,-0.00,0.30M,SGD 0.11423,SGD 0.11423,-,10.775,335.115,0.763,2.804,-,3.33M,-,40.81M,84.06M,0.47M,-1.153,-0.084,-0.02M,-,3.49M,-0.63M,-9.868,-0.01M,-2.034,-54.788,-,-,Capital Goods / Construction Services / 
Food Empire,0.500,0.500,-,26 Jul 2019,267.78M,534.56M,37.26%,0.05,1.13M,SGD 0.53845,SGD 0.53845,10.607,0.692,8.007,1.046,1.360,0.867,6.69M,7.828,256.73M,244.72M,42.22M,10.514,6.871,-10.22M,-,386.71M,21.34M,7.968,25.38M,6.434,1.526,9.058,-,Consumer/Non-Cyclical / Food Processing / 
FortressMinerals,0.240,0.240,-,26 Jul 2019,120.00M,500.00M,10.72%,0.02,2.58M,SGD 0.22504,SGD 0.21942,14.740,3.316,15.845,2.953,0.667,-,-13.42M,-,117.09M,25.08M,2.13M,124.031,-,-6.44M,-,36.19M,6.82M,28.092,7.09M,19.602,-,-,-,Basic Materials / Metal Mining / 
Fujian Zhenyun,0.149,0.149,-,26 Jul 2019,17.30M,115.00M,99.84%,0.06,0.00M,-,-,-,0.256,1.749,-,-,3.397,-81.08M,-,-62.44M,818.48M,427.38M,4.772,3.476,-5.27M,-,67.56M,46.96M,11.314,5.24M,8.325,-8.165,-16.353,-,Basic Materials / Fabricated Plastic & Rubber / 
Full Apex,0.405,0.405,-,26 Jul 2019,17.84M,43.97M,100.00%,-0.21,0.00M,-,-,-,0.090,2.519,-,-,-,117.12M,-,144.92M,"1,791.33M",20.31M,-5.302,-1.095,-0.84M,-,197.50M,-31.61M,1.143,-3.90M,-1.973,-15.628,-,-,Basic Materials / Containers & Packaging / 
Fuxing China,0.780,0.780,-,26 Jul 2019,13.64M,17.21M,32.68%,0.08,0.00M,SGD 0.7659,SGD 0.7659,2.890,0.077,1.249,0.102,-,-,26.34M,-,45.00M,"1,290.94M",63.75M,1.055,1.770,-33.15M,-,178.17M,28.91M,4.980,4.64M,2.634,7.858,-,-,Consumer Cyclical / Apparel/Accessories / 
Delong,6.010,6.010,-,26 Jul 2019,662.20M,110.18M,15.48%,3.08,0.33M,SGD 5.77678,SGD 5.77678,2.116,0.225,1.850,0.536,9.151,-,-189.75M,11.934,288.27M,"13,152.24M","5,559.23M",31.953,12.234,-,-,"2,942.70M","2,155.85M",13.955,312.96M,10.622,4.332,-,-,Basic Materials / Iron & Steel / 
Design Studio,0.106,0.106,-,26 Jul 2019,27.59M,260.26M,9.15%,-0.10,0.29M,SGD 0.1222,SGD 0.1222,-,0.195,-,0.462,-,-,-4.89M,-,18.78M,159.93M,11.81M,-33.349,-22.117,-3.38M,-,141.56M,-24.38M,-22.287,-32.98M,-23.241,-1.261,-,-,Consumer Cyclical / Furniture & Fixtures / 
DLF,0.190,0.190,-,26 Jul 2019,23.01M,121.11M,18.58%,-0.01,0.02M,SGD 0.17079,SGD 0.17151,-,1.261,-,3.770,-,-,0.25M,8.319,23.26M,10.43M,1.10M,-30.054,-,-0.07M,-,18.25M,-0.91M,-5.012,-1.35M,-6.821,-,-,-,Capital Goods / Construction Services / 
Dragon,0.004,0.004,-,26 Jul 2019,1.39M,347.94M,51.64%,-0.02,0.00M,-,-,-,0.373,-,-,-,-,-1.19M,-,-0.12M,7.58M,1.11M,-,-69.010,-1.58M,-,3.73M,-4.35M,-150.238,-6.26M,-174.002,19.766,-,-,Technology / Electronic Instr. & Controls / 
Dutech,0.240,0.240,-,26 Jul 2019,85.57M,356.54M,15.15%,0.04,0.23M,SGD 0.2341,SGD 0.2341,9.128,0.240,4.296,0.467,4.167,3.457,-28.50M,2.934,51.52M,"1,544.71M",351.76M,5.902,3.174,-52.76M,-,355.88M,52.69M,3.094,9.37M,2.634,12.060,-11.945,-,Basic Materials / Misc. Fabricated Products / 
Dynamic Colours,0.154,0.154,-,26 Jul 2019,32.34M,209.97M,5.86%,0.01,0.03M,SGD 0.16289,SGD 0.16289,17.068,0.579,8.616,0.722,3.247,6.239,-9.30M,0.044,23.04M,37.34M,6.83M,4.164,3.512,-0.59M,-,55.80M,2.02M,4.945,1.90M,3.398,-10.069,-9.464,-,Basic Materials / Fabricated Plastic & Rubber / 
Edition,0.005,0.005,-,26 Jul 2019,12.62M,2.51B,8.92%,-0.00,1.72M,SGD 0.00524,SGD 0.00524,-,274.272,-,0.524,-,-,-15.90M,0.154,-3.28M,24.50M,15.95M,-10.691,-12.419,-1.13M,-,0.05M,-3.22M,"-7,000.000",-2.77M,"-7,002.174",-73.231,-,-,Technology / Software & Programming / 
Eindec,0.027,0.027,-,26 Jul 2019,2.91M,107.70M,15.94%,-0.02,0.15M,SGD 0.01964,SGD 0.01964,-,0.279,-,0.312,-,-,-1.89M,0.816,1.02M,17.46M,2.89M,-23.279,-12.805,-0.51M,-,10.44M,-2.43M,-23.278,-2.47M,-23.633,-13.481,-,-,Capital Goods / Constr. - Supplies & Fixtures / 
Ellipsiz,0.415,0.415,-,26 Jul 2019,69.36M,167.13M,36.84%,-0.03,0.19M,SGD 0.42911,SGD 0.42911,25.460,1.270,-,0.594,6.024,5.578,-68.76M,-,-6.22M,138.91M,75.58M,-3.774,-6.387,-0.83M,-,54.60M,-4.80M,-11.998,-8.62M,-15.755,-17.057,-,-,Technology / Semiconductors / 
EMAS Offshore,0.050,0.050,-,26 Jul 2019,137.22M,438.43M,23.58%,-8.87,0.00M,-,-,-,0.115,-,-,-,-,"4,355.47M",-,"4,492.69M",466.48M,9.17M,-,-88.186,-16.77M,-,"1,189.53M",-649.18M,-475.647,"-6,150.22M",-517.031,-23.627,-,-,Energy / Oil Well Services & Equipment / 
EMS Energy,0.022,0.022,-,26 Jul 2019,10.23M,448.74M,12.68%,-0.01,0.00M,-,-,-,132.855,-,-,-,-,25.66M,-,35.79M,12.63M,0.11M,-,-112.570,-0.02M,-,0.08M,-26.42M,"-33,385.710",-25.71M,"-33,385.710",-68.428,-,-,Energy / Oil Well Services & Equipment / 
Enviro-Hub,0.025,0.025,-,26 Jul 2019,25.84M,1.03B,20.73%,0.00,0.46M,SGD 0.03195,SGD 0.03195,"1,250.000",0.904,4.988,0.549,12.000,-,96.79M,194.848,118.56M,168.42M,5.38M,1.021,1.811,-1.13M,-,28.59M,6.58M,21.049,0.01M,10.941,-15.512,-36.571,-,Services / Waste Management Services / 
Epicentre,0.018,0.018,-,26 Jul 2019,2.87M,159.47M,39.37%,-0.02,3.76M,SGD 0.08087,SGD 0.08087,-,-,-,6.900,-,-,4.68M,57.975,10.00M,17.99M,2.58M,-54.474,-12.280,-1.66M,-,-3.18M,-2.68M,-,-2.32M,-,-42.978,-,-,Consumer Cyclical / Audio & Video Equipment / 
ES,0.028,0.028,-,26 Jul 2019,3.95M,141.20M,16.43%,0.00,0.15M,SGD 0.02619,SGD 0.02619,4.082,0.141,1.684,0.147,-,-,3.32M,25.090,7.27M,46.52M,7.13M,3.641,0.345,-1.93M,-,27.97M,0.17M,0.590,0.97M,0.590,-16.226,-13.419,-,Transportation / Water Transportation / 
Hock Lian Seng,0.335,0.335,-,26 Jul 2019,171.55M,512.10M,16.84%,0.03,1.26M,SGD 0.35433,SGD 0.35433,12.107,0.841,8.708,0.841,5.373,7.492,-107.15M,-,63.69M,342.80M,119.35M,7.030,4.278,-8.08M,-,204.04M,17.85M,9.107,14.19M,6.953,17.842,-10.157,-,Capital Goods / Construction Services / 
Hong Lai Huat,0.200,0.200,-,26 Jul 2019,44.39M,221.93M,53.23%,0.05,1.10M,SGD 0.24438,SGD 0.24438,10.793,1.768,5.602,0.344,2.500,-,-20.44M,1.664,20.99M,149.87M,26.33M,6.105,2.069,-0.45M,-,25.10M,5.16M,6.849,4.11M,16.382,36.055,-,-,Consumer/Non-Cyclical / Crops / 
Hor Kew,0.150,0.150,-,26 Jul 2019,7.81M,52.07M,27.45%,-0.54,0.02M,SGD 0.18171,SGD 0.18171,-,0.142,-,0.137,-,-,37.80M,53.956,42.23M,168.18M,30.97M,-40.913,-17.537,-6.55M,-,54.86M,-30.64M,-53.604,-29.69M,-54.114,-19.288,-,-,Capital Goods / Construction Services / 
Hu An Cable,0.009,0.009,-,26 Jul 2019,9.10M,1.01B,88.22%,-0.03,0.00M,-,-,-,0.045,-,0.875,-,2.088,173.80M,4.857,183.94M,"2,611.10M",216.45M,-13.150,-57.911,-19.13M,-,201.81M,-185.10M,-129.239,-250.59M,-124.169,-0.984,-,-,Basic Materials / Misc. Fabricated Products / 
HuanHsin,0.014,0.014,-,26 Jul 2019,5.60M,400.00M,40.28%,-0.02,0.00M,-,-,-,0.342,-,-,-,-,113.11M,-,123.02M,77.63M,6.44M,-,-3.288,-0.14M,-,16.39M,-2.86M,-16.833,-2.37M,-14.436,-49.352,-,-,Consumer Cyclical / Appliance & Tool / 
Huationg Global,0.132,0.132,-,26 Jul 2019,19.98M,151.38M,16.52%,0.04,0.08M,SGD 0.14333,SGD 0.14333,3.752,0.111,0.983,0.281,4.167,-,90.33M,52.931,110.32M,232.33M,10.76M,7.754,2.218,-1.71M,-,179.31M,8.28M,4.618,5.33M,2.825,5.862,-2.902,-,Capital Goods / Construction Services / 
Hwa Hong,0.305,0.305,-,26 Jul 2019,199.32M,652.66M,33.75%,0.00,1.21M,SGD 0.30837,SGD 0.30819,34.541,19.044,24.848,1.032,3.279,3.258,27.26M,9.104,253.74M,291.38M,28.02M,2.255,2.013,-0.29M,-,10.47M,4.87M,61.695,5.75M,54.909,-18.259,-13.101,-,Services / Real Estate Operations / 
Hyphens Pharma,0.220,0.220,-,26 Jul 2019,66.09M,300.43M,20.11%,0.02,3.24M,SGD 0.21163,SGD 0.21163,13.095,0.563,10.683,1.625,-,-,-18.42M,-,46.74M,74.98M,22.35M,18.658,-,-3.38M,-,117.31M,7.00M,5.492,5.04M,4.300,-,-,-,Healthcare / Biotechnology & Drugs / 
IFS Capital,0.210,0.210,-,26 Jul 2019,78.95M,375.97M,24.83%,0.01,0.32M,SGD 0.21919,SGD 0.21919,3.876,1.249,3.322,0.460,2.619,1.604,206.58M,8.194,291.76M,506.46M,66.53M,11.190,4.784,-1.43M,-,63.21M,22.59M,40.125,20.37M,35.415,-14.616,-,-,Financial / Consumer Financial Services / 
Inch Kenneth,-,-,-,26 Jul 2019,246.14M,378.84M,36.08%,-0.02,0.39M,-,-,-,16.487,-,0.355,1.863,1.302,-65.51M,-,172.08M,725.06M,74.06M,-1.751,-1.593,-25.25M,-,14.93M,-13.78M,-92.826,-11.46M,-76.737,3.166,-,-,Consumer/Non-Cyclical / Food Processing / 
Informatics R,-,-,-,26 Jul 2019,11.84M,288.86M,10.44%,-0.05,0.30M,-,-,-,1.555,-,-,-,-,-1.40M,-,10.45M,3.12M,1.40M,-,-85.451,-0.04M,-,7.62M,-3.48M,-45.714,-3.57M,-46.921,-20.383,-,-,Services / Schools / 
Gallant Venture,0.118,0.118,-,26 Jul 2019,629.89M,5.34B,38.69%,-0.01,7.54M,SGD 0.13184,SGD 0.13184,-,0.337,-,0.438,-,-,"2,613.55M",82.970,"3,322.21M","5,250.35M",107.01M,-5.117,-1.802,-223.07M,-,"1,868.96M",102.57M,5.654,-83.90M,-4.833,-4.965,-,-,Utilities / Electric Utilities / 
Global Palm Res,0.182,0.182,-,26 Jul 2019,37.58M,196.25M,20.06%,-0.00,0.12M,SGD 0.2047,SGD 0.2047,-,1.213,96.249,0.584,5.495,-,-28.49M,-,9.13M,"724,741.62M","290,829.13M",-1.157,-2.197,"-27,214.41M",-,30.97M,"-4,462.85M",-4.915,-1.51M,-5.152,0.721,-,-,Consumer/Non-Cyclical / Crops / 
Goodland,0.205,0.205,-,26 Jul 2019,80.78M,360.59M,24.69%,0.02,0.44M,SGD 0.20998,SGD 0.2008,11.939,7.103,12.222,0.360,4.390,2.259,61.89M,7.315,136.50M,343.08M,8.72M,2.649,1.814,-0.33M,-,11.37M,4.07M,43.132,6.19M,54.325,-6.809,-23.033,-,Capital Goods / Construction Services / 
Green Build,0.110,0.110,-,26 Jul 2019,27.13M,246.68M,19.36%,0.01,0.01M,SGD 0.03871,SGD 0.03871,-,0.421,-,2.367,-,-,84.77M,433.811,106.92M,871.07M,3.29M,19.146,-0.756,-0.43M,-,64.46M,-5.66M,-3.247,-1.46M,-2.272,-17.561,72.709,-,Basic Materials / Containers & Packaging / 
GRP,0.199,0.199,-,26 Jul 2019,38.55M,193.70M,39.51%,0.01,1.53M,SGD 0.16892,SGD 0.16892,40.365,1.251,25.629,0.532,2.513,2.134,-53.79M,-,-7.00M,110.24M,50.71M,1.153,1.233,-0.15M,-,30.80M,0.91M,4.457,0.96M,4.178,-15.045,-33.855,-,Technology / Scientific & Technical Instr. / 
Guoan Intl,0.016,0.016,-,26 Jul 2019,767.15M,7.75B,46.20%,-0.01,24.50M,SGD 0.01623,SGD 0.01623,-,6.992,-,2.223,-,-,-1.54M,-,765.61M,460.35M,36.04M,-12.065,-9.816,-0.90M,-,109.71M,-43.59M,-39.731,-43.69M,-39.956,-,-,-,Services / Business Services / 
GYP Properties,0.142,0.142,-,26 Jul 2019,39.17M,274.92M,40.84%,0.02,0.45M,SGD 0.152,SGD 0.152,9.062,3.898,12.627,0.502,-,-,74.56M,15.727,107.71M,160.79M,3.48M,5.075,1.262,-0.62M,-,10.05M,4.63M,65.798,2.22M,21.067,-,-,-,Services / Printing & Publishing / 
Hafary,0.166,0.166,-,26 Jul 2019,71.47M,430.55M,16.92%,0.02,0.11M,SGD 0.16404,SGD 0.16404,6.312,0.598,4.535,1.096,6.024,-,149.18M,129.788,208.78M,236.45M,6.06M,17.572,4.575,-2.54M,-,119.54M,13.05M,11.363,11.37M,9.048,-,-,-,Capital Goods / Construction - Raw Materials / 
Hai Leck,0.510,0.510,-,26 Jul 2019,105.06M,205.67M,10.31%,0.01,0.06M,SGD 0.51677,SGD 0.51677,144.068,1.208,14.583,0.870,-,4.113,-58.58M,0.017,44.02M,147.95M,61.14M,1.136,0.502,-3.39M,-,86.93M,1.00M,-0.106,0.73M,0.837,-12.812,-39.684,-,Energy / Oil Well Services & Equipment / 
HealthBank,0.060,0.060,-,26 Jul 2019,4.68M,78.00M,17.99%,-0.01,0.02M,SGD 0.0618,SGD 0.0618,-,2.297,-,0.302,-,-,-12.24M,-,-7.56M,106.44M,61.51M,-2.913,-1.512,-0.28M,-,2.04M,-1.28M,-12.499,-0.46M,-13.905,-37.603,-,-,Services / Hotels & Motels / 
Heatec Jietong,0.039,0.039,-,26 Jul 2019,4.80M,122.96M,14.28%,-0.03,0.02M,SGD 0.02963,SGD 0.02963,-,0.175,-,0.293,-,-,5.10M,0.896,9.90M,32.38M,2.43M,-18.878,-11.518,-0.27M,-,27.47M,-3.71M,-13.499,-3.41M,-13.376,-4.509,-,-,Energy / Oil Well Services & Equipment / 
Hengyang Petro,0.141,0.141,-,26 Jul 2019,28.69M,203.46M,10.50%,-0.02,0.04M,SGD 0.19794,SGD 0.19794,-,-,-,0.337,-,-,-17.19M,-,11.21M,657.97M,87.85M,-4.033,-4.928,-,-,-,-25.37M,-,-4.45M,-,-,-,-,Energy / Oil Well Services & Equipment / 
HG Metal,0.200,0.200,-,26 Jul 2019,26.12M,127.42M,44.58%,-0.02,0.44M,SGD 0.2361,SGD 0.2361,-,0.165,-,0.262,-,-,11.98M,-,14.08M,144.49M,15.46M,-3.859,-3.022,-4.46M,-,158.18M,-3.91M,-2.698,-4.28M,-2.715,-11.315,-,-,Basic Materials / Misc. Fabricated Products / 
Hiap Tong,0.082,0.082,-,26 Jul 2019,25.26M,308.07M,28.53%,0.01,0.76M,SGD 0.07504,SGD 0.07504,11.248,0.466,1.838,0.292,0.610,-,44.18M,35.330,69.45M,154.50M,5.78M,2.635,1.512,-5.95M,-,54.22M,3.64M,6.713,2.25M,4.105,2.644,-11.293,-,Services / Rental & Leasing / 
Kitchen Culture,0.081,0.081,-,26 Jul 2019,9.60M,118.48M,5.81%,-0.04,0.11M,SGD 0.10254,SGD 0.10254,-,0.848,-,-,-,-,3.48M,-,13.91M,17.08M,0.32M,-,-22.235,-0.17M,-,11.32M,-3.31M,-31.239,-4.21M,-37.333,-,-,-,Services / Retail (Specialty) / 
KOP,0.048,0.048,-,26 Jul 2019,53.18M,1.11B,31.68%,-0.01,1.01M,SGD 0.04907,SGD 0.04902,-,2.847,-,0.410,-,-,124.22M,96.483,177.40M,277.91M,2.86M,-4.920,-2.670,-3.81M,-,18.68M,-6.12M,-32.748,-5.67M,-31.758,-35.203,-,-,Services / Motion Pictures / 
Kori,0.320,0.320,-,26 Jul 2019,31.74M,99.20M,28.43%,0.03,0.13M,SGD 0.32044,SGD 0.29002,126.482,1.215,17.819,0.621,0.313,-,1.97M,0.249,33.71M,64.78M,2.40M,0.490,0.379,-1.47M,-,26.13M,0.32M,1.235,0.25M,0.962,-15.454,-48.384,-,Capital Goods / Construction Services / 
Koyo Intl,0.065,0.065,-,26 Jul 2019,12.75M,189.82M,20.45%,0.01,0.12M,SGD 0.06839,SGD 0.06839,10.638,0.535,9.319,0.630,1.538,0.925,-20.69M,0.424,-7.94M,26.48M,20.84M,6.086,4.541,-0.41M,-,23.82M,1.34M,5.634,1.16M,4.874,10.250,4.419,-,Capital Goods / Construction Services / 
KTL Global,0.029,0.029,-,26 Jul 2019,9.15M,315.67M,22.38%,-,0.42M,SGD 0.04637,SGD 0.04637,-,0.284,-,-,-,-,24.72M,-,32.89M,40.42M,2.45M,-,-27.427,-0.73M,-,32.25M,-15.99M,-26.897,-11.56M,-35.874,-,-,-,Energy / Oil Well Services & Equipment / 
KTMG,0.200,0.200,-,26 Jul 2019,33.94M,169.68M,14.17%,-0.12,1.41M,SGD 0.20049,SGD 0.21522,-,-,-,-,-,-,-0.01M,-,33.92M,0.04M,0.01M,-,"-1,165.333",-,-,-,-0.44M,-,-0.44M,-,-,-,-,Consumer Cyclical / Apparel/Accessories / 
Lafe,0.650,0.650,-,26 Jul 2019,16.47M,25.33M,11.46%,-0.59,0.01M,SGD 0.52396,SGD 0.52396,-,0.814,-,0.284,-,-,-1.19M,-,15.09M,55.41M,1.01M,-22.252,-19.554,-0.14M,-,20.22M,-10.80M,-77.520,-15.73M,-77.804,0.379,-,-,Services / Real Estate Operations / 
Lasseters Intl,0.035,0.035,-,26 Jul 2019,16.91M,479.62M,17.28%,-0.01,0.00M,SGD 0.035,SGD 0.035,-,0.333,4.475,0.382,-,-,63.99M,132.631,82.42M,147.18M,1.87M,-5.671,-2.337,-6.46M,-,50.86M,1.71M,1.928,-3.15M,-6.367,-11.238,-,-,Services / Casinos & Gaming / 
LCT,0.320,0.320,-,26 Jul 2019,12.69M,35.24M,70.34%,0.05,0.10M,SGD 0.33495,SGD 0.33495,5.552,4.977,6.155,0.396,-,-,-10.07M,-,3.19M,169.01M,47.74M,6.606,6.230,-0.71M,-,2.55M,12.83M,108.908,2.03M,79.649,-68.479,-31.306,-,Technology / Communications Equipment / 
Leader Env,0.012,0.012,-,26 Jul 2019,7.41M,617.21M,47.00%,-0.00,0.45M,SGD 0.01082,SGD 0.01082,-,0.838,-,0.612,-,-,6.88M,-,18.27M,211.47M,10.52M,-14.631,-4.561,-0.94M,-,8.84M,-10.42M,-26.734,-2.34M,-26.466,3.971,-,-,Services / Waste Management Services / 
LHN,0.132,0.132,-,26 Jul 2019,53.12M,402.45M,41.18%,0.02,0.30M,SGD 0.15856,SGD 0.15856,9.078,0.498,4.279,0.591,-,-,28.46M,22.225,53.73M,148.15M,25.35M,6.838,4.149,-7.10M,-,106.68M,5.08M,4.083,5.85M,6.065,3.763,-4.566,-,Services / Real Estate Operations / 
Informatics,0.041,0.041,-,26 Jul 2019,11.84M,288.86M,10.44%,-0.05,0.30M,SGD 0.03922,SGD 0.03922,-,1.555,-,-,-,-,-1.40M,-,10.45M,3.12M,1.40M,-,-85.451,-0.04M,-,7.62M,-3.48M,-45.714,-3.57M,-46.921,-20.383,-,-,Services / Schools / 
InnoPac,0.002,0.002,-,26 Jul 2019,8.92M,4.46B,87.11%,-,0.00M,-,-,-,-,-,-,-,-,-0.21M,-,7.71M,18.01M,1.21M,-,-40.288,-0.05M,-,-0.01M,-9.49M,-,-8.46M,-,-,-,-,Financial / Investment Services / 
Intl Cement,0.029,0.029,-,26 Jul 2019,170.05M,5.86B,11.95%,0.00,35.08M,SGD 0.03968,SGD 0.0349,9.206,1.452,4.713,0.835,-,-,1.74M,0.055,158.88M,292.75M,13.03M,8.526,9.445,-38.07M,-,117.12M,31.23M,28.333,17.34M,23.537,-18.434,-17.496,-,Capital Goods / Construction - Raw Materials / 
Japan Foods,0.480,0.480,-,26 Jul 2019,83.73M,173.60M,22.61%,0.02,0.12M,SGD 0.44831,SGD 0.44831,25.000,1.230,11.145,2.464,3.958,4.484,-22.05M,-,61.68M,43.75M,22.05M,9.830,7.666,-4.37M,-,68.08M,3.99M,5.864,3.34M,4.899,1.593,-14.557,-,Services / Restaurants / 
Jason Marine,0.129,0.129,-,26 Jul 2019,13.67M,105.00M,13.88%,0.01,0.01M,SGD 0.10472,SGD 0.10472,70.879,0.471,24.862,0.513,3.876,-,-14.17M,-,-0.49M,35.95M,14.17M,0.525,0.426,-0.35M,-,29.00M,0.61M,2.110,0.19M,0.700,-10.218,-41.352,-,Technology / Communications Equipment / 
Jawala,0.210,0.210,-,26 Jul 2019,24.88M,118.47M,99.00%,0.03,0.00M,SGD 0.21037,SGD 0.21037,9.833,1.760,6.504,2.603,1.905,-,-9.75M,1.419,16.55M,33.73M,25.47M,57.242,-,-2.19M,-,14.14M,15.91M,38.532,2.53M,26.361,-,-,-,Consumer/Non-Cyclical / Crops / 
JCG Investment,0.002,0.002,-,26 Jul 2019,25.47M,12.74B,29.96%,-0.00,75.33M,SGD 0.00205,SGD 0.00205,-,22.246,-,14.954,-,-,-1.80M,-,27.35M,2.26M,1.61M,-,-79.011,-0.01M,-,1.15M,-1.33M,-159.127,-2.54M,-219.127,-51.184,-,-,Basic Materials / Iron & Steel / 
