names,last price,vol,val traded,address
OKH Global,0.020,100,0,https://www2.sgx.com/securities/equities/S3N
Starland,0.160,12.5,0,https://www2.sgx.com/securities/equities/5UA
Accrelist,0.004,654.1,0,https://www2.sgx.com/securities/equities/5RJ
San Teh,0.150,12.7,0,https://www2.sgx.com/securities/equities/S46
Polaris,0.003,200.2,0,https://www2.sgx.com/securities/equities/5BI
GCCP,0.010,56,0,https://www2.sgx.com/securities/equities/41T
Kencana Agri,0.140,2.6,0,https://www2.sgx.com/securities/equities/BNE
Ocean Sky Intl,0.069,5.5,0,https://www2.sgx.com/securities/equities/1B6
Hupsteel,0.760,0.4,0,https://www2.sgx.com/securities/equities/BMH
Global Testing,0.680,0.4,0,https://www2.sgx.com/securities/equities/AYN
Hiap Seng,0.082,3.1,0,https://www2.sgx.com/securities/equities/510
A-Sonic Aero,0.235,1,0,https://www2.sgx.com/securities/equities/BTJ
Pacific Star Dev,0.098,2.1,0,https://www2.sgx.com/securities/equities/1C5
Khong Guan,1.980,0.1,0,https://www2.sgx.com/securities/equities/K03
Wilton Resources,0.026,5,0,https://www2.sgx.com/securities/equities/5F7
UOB Kay Hian,1.200,0.1,0,https://www2.sgx.com/securities/equities/U10
HC Surgical,0.570,0.2,0,https://www2.sgx.com/securities/equities/1B1
Bund Center,0.550,0.2,0,https://www2.sgx.com/securities/equities/BTE
Blumont,0.003,500.1,0,https://www2.sgx.com/securities/equities/A33
FortressMinerals,0.240,4,0,https://www2.sgx.com/securities/equities/OAJ
Envictus,0.142,6.6,0,https://www2.sgx.com/securities/equities/BQD
United Food,0.110,7.2,0,https://www2.sgx.com/securities/equities/AZR
Singapore-eDev,0.037,20.2,0,https://www2.sgx.com/securities/equities/40V
Sen Yue,0.015,50,0,https://www2.sgx.com/securities/equities/5BS
Ho Bee Land,2.430,0.3,0,https://www2.sgx.com/securities/equities/H13
MDR,0.001,645.1,0,https://www2.sgx.com/securities/equities/A27
Parkson Retail,0.017,37.1,0,https://www2.sgx.com/securities/equities/O9E
BH Global,0.071,8.5,0,https://www2.sgx.com/securities/equities/BQN
Koh Eco,0.042,10,0,https://www2.sgx.com/securities/equities/5HV
P5 Capital,0.006,0.5,0,https://www2.sgx.com/securities/equities/5AI
ICP Ltd,0.008,0.2,0,https://www2.sgx.com/securities/equities/5I4
Arion Ent,0.009,0.2,0,https://www2.sgx.com/securities/equities/YYB
New Wave,0.008,0.2,0,https://www2.sgx.com/securities/equities/5FX
LifeBrandz,0.010,0.2,0,https://www2.sgx.com/securities/equities/1D3
Viking Offshore,0.005,0.2,0,https://www2.sgx.com/securities/equities/557
KLW,0.003,0.2,0,https://www2.sgx.com/securities/equities/504
China Real Estate,0.002,0.4,0,https://www2.sgx.com/securities/equities/5RA
DISA,0.002,0.2,0,https://www2.sgx.com/securities/equities/532
Vashion,0.003,0.2,0,https://www2.sgx.com/securities/equities/1F4
ISR Capital,0.003,0.1,0,https://www2.sgx.com/securities/equities/5EC
Renaissance United,0.001,0.2,0,https://www2.sgx.com/securities/equities/I11
NGSC,0.002,0.1,0,https://www2.sgx.com/securities/equities/B07
Annica,0.001,0.1,0,https://www2.sgx.com/securities/equities/5AL
Low Keng Huat,0.540,0.2,0,https://www2.sgx.com/securities/equities/F1E
KTMG,0.220,0.4,0,https://www2.sgx.com/securities/equities/XCF
China Haida,0.006,15,0,https://www2.sgx.com/securities/equities/C92
Guoan Intl,0.014,5,0,https://www2.sgx.com/securities/equities/G11
King Wan,0.107,0.5,0,https://www2.sgx.com/securities/equities/554
MoneyMax Fin,0.130,0.4,0,https://www2.sgx.com/securities/equities/5WJ
Pan Asian,0.014,3,0,https://www2.sgx.com/securities/equities/5EW
Capital World,0.032,1.1,0,https://www2.sgx.com/securities/equities/1D5
Sapphire,0.120,0.2,0,https://www2.sgx.com/securities/equities/BRD
Reclaims Global,0.225,0.1,0,https://www2.sgx.com/securities/equities/NEX
Seroja Inv,0.040,0.5,0,https://www2.sgx.com/securities/equities/IW5
Intl Cement,0.032,0.1,0,https://www2.sgx.com/securities/equities/KUO
IP Softcom,0.006,0,0,https://www2.sgx.com/securities/equities/571
ASTI,0.034,0,0,https://www2.sgx.com/securities/equities/575
KS Energy,0.018,0,0,https://www2.sgx.com/securities/equities/578
Santak,0.093,0,0,https://www2.sgx.com/securities/equities/580
Sunrise Shares,0.037,0,0,https://www2.sgx.com/securities/equities/581
Progen,0.041,0,0,https://www2.sgx.com/securities/equities/583
OEL,0.006,0,0,https://www2.sgx.com/securities/equities/584
Asian Micro,0.005,0,0,https://www2.sgx.com/securities/equities/585
