	name	openPrice	close	dividend	pricebookvalue	new PE ratio	margin	newevebita	roe
141	Straits Trading	2.07	2.06	0.06	0.569	13.029412129672716	0.12451234114875044	22.037031782065835	0.03221679750940718
142	UOB Kay Hian	1.23	1.23	0.048	0.689	11.612905492446423	0.23843297126741686	14.74048483428973	0.028967070692679023
143	Viking Offshore	0.008	0.008	0.002	0.141	-0.994316742081448	-0.2657847263980758	-7.953907815631262	-0.09089974293059126
144	Multi-Chem	0.775	0.72	0.033	0.65	11.645385996409336	0.012913546472538428	2.9686274509803923	0.0207140200818148
145	Hotung Inv	1.66	1.66	0.154	0.584	10.14222081218274	0.6525879917184265	10.919728660260034	0.0
147	InnoTek	0.44	0.435	0.01	0.691	6.262395038167939	0.07189901207464325	2.0854659584741673	0.05682680837219391
148	Far East Orchard	1.26	1.26	0.06	0.446	25.327448275862068	0.1447009513671745	24.90566037735849	0.010279362348704328
149	Tai Sin Electric	0.32	0.32	0.015	0.802	10.27018422991894	0.0408895049266279	7.930047694753577	0.05737358362929139
150	KingsmenCreative	0.52	0.52	0.01	0.869	9.645130111524164	0.03241159105970239	6.63197729422895	0.034513728509109574
152	Golden Energy	0.24	0.245	0.014	1.18	5.862411022981492	0.06725022225261575	3.039619711374569	0.07695738936494893
153	Healthway Med	0.03	0.03	0.0	0.735	-4.486912153236459	-0.2639470013947001	22.05639913232104	-0.12575273059512437
155	Boustead	0.785	0.795	0.01	1.2	11.383069997095557	0.07750489611237422	4.502842090669624	0.03468109109956082
156	Challenger	0.5	0.5	0.011	2.0	8.717424242424242	0.06083136194660358	4.257383966244726	0.0
159	AsiaPhos	0.009	0.01	0.001	0.124	-1.2910137672090114	-0.2490648379052369	-6.774285714285714	-0.06725023146199814
162	ISDN	0.2	0.2	0.006	0.542	5.52013986013986	0.047459427168032926	2.978082191780822	0.05388093443858327
164	CNMC Goldmine	0.22	0.23	0.002	1.696	40.07209401709402	0.053830227743271224	7.4389799635701275	0.023882424984690752
165	Clearbridge	0.169	0.169	0.0	1.689	-4.029892300194932	-5.029411764705882	-28.007575757575758	-0.2805194805194805
166	SIIC Environment	0.335	0.325	0.01	0.554	7.667829018826937	0.1065668647272166	22.973168880455408	0.03222983301632496
167	Wee Hur	0.205	0.205	0.004	0.519	6.563784395680947	0.09942857142857142	4.355934696278864	0.04157555571645789
168	KimHeng Offshore	0.068	0.073	0.001	0.737	-2.8778971078976636	-0.5893149786955096	-13.341772151898734	-0.1959886636145629
169	ASTI	0.047	0.048	0.02	0.343	1.1635335061088488	0.22895651436805967	25.304597701149426	0.12326016519874047
170	Riverstone	1.14	1.14	0.004	3.728	19.78990864371047	0.1478953750216525	12.998248965297677	0.1400223038572553
172	CSC	0.021	0.021	0.0	0.369	-3.4563827072997877	-0.04060665362035225	9.241138872748403	-0.049630671825536404
173	Intraco	0.275	0.275	0.003	0.417	9.476993355481728	0.021380877965620118	2.4119318181818183	0.02409542106948447
174	Delfi	1.42	1.35	0.015	3.055	27.977822990844356	0.05156225412200794	12.127822878228782	0.06142854167100631
175	BRC Asia	1.27	1.27	0.01	1.25	25.220578723404255	0.020722738576039224	18.372467222884385	0.03100918399662198
176	Koh Bros	0.25	0.245	0.006	0.358	15.287851739788199	0.016375978594787434	31.02459711620017	0.011850550396213562
177	SHS	0.195	0.196	0.002	0.679	-7.616873511060692	-0.36607142857142855	-21.916211293260474	-0.06832274066036273
178	Starburst	0.345	0.39	0.003	3.659	-18.803737574552684	-0.7621212121212121	-37.481884057971016	-0.1478976771537783
179	Tiong Woon	0.27	0.27	0.002	0.25	16.457952755905513	0.03711641500243546	4.411591880341881	0.011913696060037523
180	Micro-Mechanics	1.66	1.63	0.04	3.846	14.43432484076433	0.24608150470219436	8.40929292929293	0.17736104835065522
181	Hotel Grand	1.32	1.33	0.05	0.74	31.05071336760926	0.19003419638495359	13.6832909245123	0.018422922093298603
182	Hock Lian Seng	0.345	0.345	0.018	0.883	7.514866014461931	0.10831106606468258	3.471976401179941	0.057256277246048565
183	SingShipping	0.285	0.285	0.01	0.994	8.033554533508541	0.23426196706172078	6.850292825768667	0.08504218584120243
184	CEI	0.93	0.865	0.01	1.9	11.414840182648403	0.04780615586116568	7.520317145688801	0.09247009148486982
185	BlackGoldNatural	0.013	0.012	0.0	0.842	-1.365652490886999	-1.1824712643678161	-3.70509977827051	-0.3763145861911294
188	Sinarmas Land	0.26	0.26	0.007	0.551	3.733462446858762	0.26441724359431873	6.1787127429805615	0.051143560204726095
189	Low Keng Huat	0.54	0.56	0.02	0.636	22.97274847307052	0.09423891999372089	29.73587907716786	0.020716865668208066
190	Cortina	1.04	1.04	0.02	0.943	6.787670476941269	0.05385611480247097	4.452825428859738	0.0966144940782208
191	SBS Transit	2.92	2.96	0.058	1.939	13.379217164395477	0.051098188821808214	5.817856743770253	0.07189460738331978
192	Bund Center	0.585	0.61	0.02	1.077	16.709375451263536	0.23119939904849346	5.647743581565939	0.044947831307706035
193	Ramba Energy	0.09	0.083	0.0	1.475	-9.979592936802975	-0.10418280402788536	-5.19723865877712	-0.04929448414879971
194	Hiap Seng	0.07	0.07	0.005	1.204	-0.5193575964826577	-0.3564339195542399	-1.4331691297208538	-0.6055317260760242
195	MoneyMax Fin	0.15	0.15	0.005	0.733	7.485190409026798	0.04711276496777195	12.6670526925304	0.0664168618266979
197	PCI	1.31	1.3	0.03	1.832	10.879781420765028	0.06347723998078873	5.559274319674695	0.0
198	Haw Par	12.4	12.4	0.15	0.868	15.537993645029506	0.755973062239952	24.948943661971832	0.04731160857858468
201	Avi-Tech	0.3	0.3	0.003	1.04	12.796758104738155	0.12372724467756867	3.1818181818181817	0.044570412359675446
202	Avarga	0.205	0.205	0.005	0.889	10.738349004424778	0.011236513697608513	6.743829649943539	0.04460232879415828
204	Centurion	0.405	0.405	0.01	0.736	10.604668327623795	0.24879900821323417	14.509707287933097	0.0517552625640695
